
2021/09/20 (13:30:16) | ===> btop++ v.1.0.1
2021/09/20 (13:30:16) | WARNING: Got an invalid integer value for config name: net_download
2021/09/20 (13:30:16) | WARNING: Got an invalid integer value for config name: net_upload

2021/09/20 (13:31:20) | ===> btop++ v.1.0.1
2021/09/20 (13:31:20) | WARNING: Got an invalid integer value for config name: net_download
2021/09/20 (13:31:20) | WARNING: Got an invalid integer value for config name: net_upload

2021/09/23 (14:13:02) | ===> btop++ v.1.0.5
2021/09/23 (14:13:02) | WARNING: Got an invalid integer value for config name: net_download
2021/09/23 (14:13:02) | WARNING: Got an invalid integer value for config name: net_upload

2021/09/24 (00:30:47) | ===> btop++ v.1.0.6
2021/09/24 (00:30:47) | WARNING: Got an invalid integer value for config name: net_download
2021/09/24 (00:30:47) | WARNING: Got an invalid integer value for config name: net_upload

2021/09/24 (00:32:33) | ===> btop++ v.1.0.6
2021/09/24 (00:32:33) | WARNING: Got an invalid integer value for config name: net_download
2021/09/24 (00:32:33) | WARNING: Got an invalid integer value for config name: net_upload

2021/09/24 (00:34:18) | ===> btop++ v.1.0.6
2021/09/24 (00:34:18) | INFO: Logger set to INFO
2021/09/24 (00:34:19) | INFO: Logger set to INFO
2021/09/24 (00:34:20) | INFO: Logger set to DEBUG
